"om","yr","mo","dy","date","time","tz","st","stf","stn","mag","inj","fat","loss","closs","slat","slon","elat","elon","len","wid","ns","sn","sg","f1","f2","f3","f4"
649735,2019,10,20,"2019-10-20","20:20:00",3,"OK",40,0,0.75,0,0,0,0,36.09,-96.4951,36.09,-96.4951,0,0,0,0,0,37,0,0,0
649736,2019,10,20,"2019-10-20","20:25:00",3,"OK",40,0,0.75,0,0,0,0,35.8304,-96.3887,35.8304,-96.3887,0,0,0,0,0,37,0,0,0
649737,2019,10,20,"2019-10-20","20:26:00",3,"OK",40,0,1,0,0,0,0,35.8491,-96.3873,35.8491,-96.3873,0,0,0,0,0,37,0,0,0
649738,2019,10,20,"2019-10-20","20:43:00",3,"OK",40,0,1.25,0,0,10000,0,35.9423,-96.2137,35.9423,-96.2137,0,0,0,0,0,37,0,0,0
649739,2019,10,20,"2019-10-20","20:44:00",3,"OK",40,0,0.75,0,0,0,0,35.39,-97.43,35.39,-97.43,0,0,0,0,0,109,0,0,0
649740,2019,10,20,"2019-10-20","20:44:00",3,"OK",40,0,1,0,0,0,0,36.1054,-96.1199,36.1054,-96.1199,0,0,0,0,0,143,0,0,0
649741,2019,10,20,"2019-10-20","20:44:00",3,"OK",40,0,1.75,0,0,20000,0,36.1062,-96.1242,36.1062,-96.1242,0,0,0,0,0,143,0,0,0
649742,2019,10,20,"2019-10-20","20:50:00",3,"OK",40,0,1,0,0,0,0,36.1586,-96.0472,36.1586,-96.0472,0,0,0,0,0,143,0,0,0
649743,2019,10,20,"2019-10-20","21:03:00",3,"OK",40,0,1,0,0,0,0,35.7416,-96.0702,35.7416,-96.0702,0,0,0,0,0,111,0,0,0
649744,2019,10,20,"2019-10-20","21:06:00",3,"TX",48,0,2,0,0,10000,0,32.61,-96.43,32.61,-96.43,0,0,0,0,0,257,0,0,0
649745,2019,10,20,"2019-10-20","21:08:00",3,"OK",40,0,2.5,0,0,50000,0,35.9875,-96.599,35.9875,-96.599,0,0,0,0,0,37,0,0,0
649746,2019,10,20,"2019-10-20","21:08:00",3,"OK",40,0,2,0,0,50000,0,36.2977,-95.993,36.2977,-95.993,0,0,0,0,0,143,0,0,0
649747,2019,10,20,"2019-10-20","21:08:00",3,"OK",40,0,0.75,0,0,0,0,35.4401,-95.9988,35.4401,-95.9988,0,0,0,0,0,111,0,0,0
649748,2019,10,20,"2019-10-20","21:33:00",3,"OK",40,0,1.25,0,0,0,0,34.87,-96.82,34.87,-96.82,0,0,0,0,0,123,0,0,0
649749,2019,10,20,"2019-10-20","21:35:00",3,"OK",40,0,0.88,0,0,0,0,34.75,-96.96,34.75,-96.96,0,0,0,0,0,49,0,0,0
649750,2019,10,20,"2019-10-20","21:57:00",3,"OK",40,0,0.75,0,0,0,0,35.4391,-95.9964,35.4391,-95.9964,0,0,0,0,0,111,0,0,0
649751,2019,10,20,"2019-10-20","21:59:00",3,"TX",48,0,0.88,0,0,0,0,32.9,-96.13,32.9,-96.13,0,0,0,0,0,231,0,0,0
649752,2019,10,20,"2019-10-20","22:10:00",3,"TX",48,0,1.5,0,0,0,0,32.68,-95.98,32.68,-95.98,0,0,0,0,0,467,0,0,0
649753,2019,10,20,"2019-10-20","22:12:00",3,"TX",48,0,1,0,0,0,0,32.846,-95.8826,32.846,-95.8826,0,0,0,0,0,379,0,0,0
649754,2019,10,20,"2019-10-20","22:28:00",3,"TX",48,0,1.25,0,0,0,0,32.79,-95.79,32.79,-95.79,0,0,0,0,0,379,0,0,0
649755,2019,10,20,"2019-10-20","22:34:00",3,"TX",48,0,1,0,0,0,0,32.82,-95.78,32.82,-95.78,0,0,0,0,0,379,0,0,0
649756,2019,10,20,"2019-10-20","23:15:00",3,"AR",5,0,1,0,0,0,0,36.18,-94.53,36.18,-94.53,0,0,0,0,0,7,0,0,0
649757,2019,10,20,"2019-10-20","23:25:00",3,"TX",48,0,0.88,0,0,0,0,33.09,-96.89,33.09,-96.89,0,0,0,0,0,121,0,0,0
649758,2019,10,20,"2019-10-20","23:27:00",3,"TX",48,0,1,0,0,0,0,33.0409,-95.2152,33.0409,-95.2152,0,0,0,0,0,159,0,0,0
649759,2019,10,20,"2019-10-20","23:38:00",3,"TX",48,0,1,0,0,0,0,33.31,-96.57,33.31,-96.57,0,0,0,0,0,85,0,0,0
649760,2019,10,21,"2019-10-21","00:20:00",3,"MO",29,0,1.25,0,0,0,0,36.5,-93.24,36.5,-93.24,0,0,0,0,0,213,0,0,0
649761,2019,10,21,"2019-10-21","00:58:00",3,"AR",5,0,0.75,0,0,0,0,34.8,-92.44,34.8,-92.44,0,0,0,0,0,119,0,0,0
649762,2019,10,21,"2019-10-21","01:39:00",3,"MO",29,0,1,0,0,0,0,36.8,-91.9,36.8,-91.9,0,0,0,0,0,91,0,0,0
649763,2019,10,21,"2019-10-21","02:22:00",3,"MO",29,0,1,0,0,0,0,38.223,-90.3942,38.223,-90.3942,0,0,0,0,0,99,0,0,0
649764,2019,10,21,"2019-10-21","03:09:00",3,"AR",5,0,1,0,0,0,0,33.4432,-93.6121,33.4432,-93.6121,0,0,0,0,0,73,0,0,0
649765,2019,10,21,"2019-10-21","03:13:00",3,"IL",17,0,1,0,0,0,0,38.09,-89.05,38.09,-89.05,0,0,0,0,0,55,0,0,0
649766,2019,10,24,"2019-10-24","12:45:00",3,"OK",40,0,0.88,0,0,0,0,34.8,-98.27,34.8,-98.27,0,0,0,0,0,31,0,0,0
649767,2019,10,29,"2019-10-29","13:30:00",3,"OK",40,0,0.88,0,0,0,0,35.63,-95.97,35.63,-95.97,0,0,0,0,0,111,0,0,0
649768,2019,10,29,"2019-10-29","17:25:00",3,"OK",40,0,1.25,0,0,5000,0,36.2,-94.7641,36.2,-94.7641,0,0,0,0,0,41,0,0,0
649616,2019,10,1,"2019-10-01","00:47:00",3,"IA",19,0,0.75,0,0,0,0,42.58,-95.72,42.58,-95.72,0,0,0,0,0,35,0,0,0
649617,2019,10,1,"2019-10-01","10:37:00",3,"WI",55,0,1,0,0,0,0,42.83,-89.03,42.83,-89.03,0,0,0,0,0,105,0,0,0
649618,2019,10,1,"2019-10-01","11:49:00",3,"NY",36,0,1,0,0,0,0,44.9522,-74.9256,44.9522,-74.9256,0,0,0,0,0,89,0,0,0
649619,2019,10,1,"2019-10-01","11:53:00",3,"NY",36,0,2,0,0,0,0,44.93,-74.85,44.93,-74.85,0,0,0,0,0,89,0,0,0
649620,2019,10,1,"2019-10-01","15:05:00",3,"IA",19,0,1,0,0,0,0,41.2,-94.42,41.2,-94.42,0,0,0,0,0,1,0,0,0
649621,2019,10,1,"2019-10-01","15:12:00",3,"IA",19,0,1.75,0,0,2000,0,41.22,-94.36,41.22,-94.36,0,0,0,0,0,1,0,0,0
649622,2019,10,1,"2019-10-01","15:33:00",3,"IA",19,0,1.5,0,0,2000,0,41.33,-94.18,41.33,-94.18,0,0,0,0,0,121,0,0,0
649623,2019,10,1,"2019-10-01","16:27:00",3,"IA",19,0,1.75,0,0,10000,0,41.53,-93.66,41.53,-93.66,0,0,0,0,0,153,0,0,0
649624,2019,10,1,"2019-10-01","16:30:00",3,"IA",19,0,2.5,0,0,1e+05,0,41.56,-93.65,41.56,-93.65,0,0,0,0,0,153,0,0,0
649625,2019,10,1,"2019-10-01","16:31:00",3,"IA",19,0,1.25,0,0,5000,0,41.57,-93.61,41.57,-93.61,0,0,0,0,0,153,0,0,0
649626,2019,10,1,"2019-10-01","16:32:00",3,"IA",19,0,2.75,0,0,250000,0,41.58,-93.65,41.58,-93.65,0,0,0,0,0,153,0,0,0
649627,2019,10,1,"2019-10-01","16:32:00",3,"IA",19,0,1,0,0,0,0,41.59,-93.62,41.59,-93.62,0,0,0,0,0,153,0,0,0
649628,2019,10,1,"2019-10-01","16:32:00",3,"IA",19,0,1.5,0,0,50000,0,41.56,-93.64,41.56,-93.64,0,0,0,0,0,153,0,0,0
649629,2019,10,1,"2019-10-01","16:34:00",3,"IA",19,0,1,0,0,0,0,41.6,-93.63,41.6,-93.63,0,0,0,0,0,153,0,0,0
649630,2019,10,1,"2019-10-01","16:54:00",3,"IA",19,0,0.75,0,0,0,0,42.48,-92.46,42.48,-92.46,0,0,0,0,0,13,0,0,0
649631,2019,10,3,"2019-10-03","19:35:00",3,"TX",48,0,0.88,0,0,0,0,33.2566,-96.98,33.2566,-96.98,0,0,0,0,0,121,0,0,0
649632,2019,10,4,"2019-10-04","15:30:00",3,"MS",28,0,0.75,0,0,0,0,30.5577,-89.6024,30.5577,-89.6024,0,0,0,0,0,109,0,0,0
649633,2019,10,5,"2019-10-05","16:15:00",3,"OK",40,0,1.75,0,0,10000,0,35.83,-96.2372,35.83,-96.2372,0,0,0,0,0,37,0,0,0
649634,2019,10,5,"2019-10-05","21:05:00",3,"OK",40,0,1.25,0,0,5000,0,36.08,-95.1,36.08,-95.1,0,0,0,0,0,21,0,0,0
649635,2019,10,6,"2019-10-06","13:48:00",3,"OK",40,0,0.75,0,0,0,0,35.15,-94.97,35.15,-94.97,0,0,0,0,0,61,0,0,0
